File,Status,Centroid,Orientation,CNN_Predicted_Taxa,CNN_Predicted_Score,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,File_Name,Unnamed: 0,1. Taxonomic Level,2. Taxonomic Level,3. Taxonomic Level,4. Taxonomic Level,5. Taxonomic Level,Capture location,Capture location - LAT,Capture location - LONG,Capture method,Date Database Addition,Date of Sample Collection,Device,File Name,Files,Image ID,Method of Identification,Observer,Organisation,Original File Name,Project,Project Description,Publication DOI,Sex,Specimen ID,Wing side,Damaged Wing,TAXA LABEL,Landmark Label,Segmentation Label,Number
aedes_mosquito-collection-brazil_f_l_65621a7bb70e.tif,Full Skeleton,1372,right,Aedes_aegypti,0.99,0.6031249999999999,0.051562499999999956,0.01718749999999991,0.0,0.0031249999999999334,0.04218749999999993,0.09999999999999998,0.19062499999999993,0.30781249999999993,0.5359375,0.40625,0.40312499999999996,0.35624999999999996,0.35468749999999993,0.36249999999999993,0.23906249999999996,0.2265625,0.334375,0.303125,0.35,0.4125,0.46875,0.525,0.584375,0.628125,0.68125,0.490625,0.490625,0.446875,0.440625,0.4125,0.371875,0.35,0.5,aedes_mosquito-collection-brazil_f_l_65621a7bb70e.png,23867.0,Culicidae,Aedes,-,aegypti,-,"laboratory-colony, FIOCRUZ Rio de Janeiro",MISSING VALUE,MISSING VALUE,laboratory-colony,2025-11-09,MISSING VALUE,leica-m205c,aedes_mosquito-collection-brazil_f_l_65621a7bb70e.tif,culicidae/aedes/aedes_mosquito-collection-brazil_f_l_65621a7bb70e.tif,65621a7bb70e,laboratory-colony,k.nolte,"fiocruz, rio de janeiro, brazil",/Volumes/Extreme SSD/MosquitoWingImages_raw/bnitm/WingsBrasil/PAEA-aegypti-36l_ch00.tif,mosquito-collection-brazil,This study aims to increase on the diversity and distribution of mosquitoes from Brasil in the database.,,F,A_2975,L,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_aegypti-diversity-study_f_r_1da4ac91f319.tif,Full Skeleton,1233,right,Aedes_aegypti,0.98,0.528125,0.05625000000000002,0.018749999999999933,0.0,0.006249999999999978,0.0390625,0.09843749999999996,0.18125000000000002,0.2796875,0.471875,0.36875,0.35468749999999993,0.32499999999999996,0.3125,0.31562499999999993,0.234375,0.21406249999999993,0.365625,0.309375,0.359375,0.415625,0.471875,0.525,0.56875,0.60625,0.653125,0.496875,0.484375,0.446875,0.45,0.409375,0.390625,0.365625,0.49375,aedes_aegypti-diversity-study_f_r_1da4ac91f319.png,6336.0,Culicidae,Aedes,-,aegypti,-,Ghana,8.0300284,-1.0800271,bg-sentinel,2024-04-02 00:00:00,MISSING VALUE,olympus sz61 + olympus dp23,aedes_aegypti-diversity-study_f_r_1da4ac91f319.tif,Culicidae/aedes/aedes_aegypti-diversity-study_f_r_1da4ac91f319.tif,1da4ac91f319,morphology,h.jöst,"bernhard-nocht-institute for tropical medicine, hamburg, germany",/Volumes/Crucial/mos_dataset_raw/bnitm/Hanna/images/aedes_aegypti_84_R.tif,aegypti-diversity-study,The aim of the study was to analyse genetic and geomorphic data of Ae. aegypti to investigate the influence of geography and landscape type on its populations across multiple regions in Benin. ,-,F,3638,R,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_landmark-aedes-collection_f_r_de9547be1d4c.tif,Full Skeleton,1002,right,Aedes_aegypti,0.98,0.5640625,0.04843750000000002,0.014062500000000089,0.0,0.004687500000000067,0.0546875,0.12031250000000004,0.19843750000000004,0.3140625,0.5265625,0.39375000000000004,0.3890625000000001,0.3500000000000001,0.34687500000000004,0.353125,0.23125000000000007,0.2265625,0.34375,0.3125,0.365625,0.434375,0.4875,0.55,0.6,0.64375,0.69375,0.496875,0.5,0.45625,0.453125,0.4125,0.371875,0.35,0.50625,aedes_landmark-aedes-collection_f_r_de9547be1d4c.png,9572.0,Culicidae,Aedes,-,aegypti,-,"laboratory-colony, bnitm hamburg",53.550341,10.000654,laboratory-colony,2024-04-02 00:00:00,MISSING VALUE,olympus sz61 + olympus dp23,aedes_landmark-aedes-collection_f_r_de9547be1d4c.tif,Culicidae/aedes/aedes_landmark-aedes-collection_f_r_de9547be1d4c.tif,de9547be1d4c,laboratory-colony,k.kliemke,"bernhard-nocht-institute for tropical medicine, hamburg, germany",/Volumes/Crucial/mos_dataset_raw/bnitm/Konstantin/aedes aegypti/09.11.2022/Ae_aeg_08_f_r.tif,landmark-aedes-collection,The aim of the study was to evaluate whether geometric wing morphometrics represents a reliable tool to differentiate Ae. koreicus and Ae. j. japonicus female and male specimens.,-,F,5894,R,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_aegypti-worldwide-collection_f_r_9f238b6eb4fc.tif,Repaired,1765,left,Aedes_aegypti,0.99,0.59375,0.065625,0.0328125,0.0109375,0.015625,0.0625,0.128125,0.2015625,0.3046875,0.5171875,0.4015625,0.3984375,0.3515625,0.35,0.359375,0.2578125,0.2390625,0.334375,0.296875,0.340625,0.396875,0.459375,0.51875,0.584375,0.625,0.678125,0.496875,0.48125,0.434375,0.4375,0.396875,0.353125,0.3375,0.49375,aedes_aegypti-worldwide-collection_f_r_9f238b6eb4fc.png,17975.0,Culicidae,Aedes,-,aegypti,-,"Lahore, Pakistan",31.5656822,74.3141829,ovitrap,2024-04-26 00:00:00,MISSING VALUE,leica-m205c,aedes_aegypti-worldwide-collection_f_r_9f238b6eb4fc.tif,Culicidae/aedes/aedes_aegypti-worldwide-collection_f_r_9f238b6eb4fc.tif,9f238b6eb4fc,morphology,g.a.garcia,"fiocruz, rio de janeiro, brazil",/Volumes/Crucial/mos_dataset_raw/bnitm/Rafael Brazil/Pakistan/Paq_36_R.tif,aegypti-worldwide-collection,"This study investigates whether the effects of DENV infection on mosquitoes can vary among populations. Here, we simultaneously investigated and compared the effects of oral DENV infection on the survival and fecundity of Ae. aegypti populations from four countries—Brazil, Peru, Pakistan, and Australia.",10.3390/insects15060393,F,4148,R,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_aegypti-diversity-study_f_l_372378139a3d.tif,Repaired,1477,left,Aedes_aegypti,1.0,0.625,0.1046875,0.071875,0.0515625,0.053125,0.096875,0.1609375,0.2421875,0.3453125,0.5296875,0.4296875,0.4171875,0.3859375,0.384375,0.3921875,0.290625,0.265625,0.384375,0.3375,0.371875,0.43125,0.49375,0.55625,0.6125,0.653125,0.69375,0.534375,0.525,0.48125,0.4875,0.44375,0.41875,0.390625,0.5375,aedes_aegypti-diversity-study_f_l_372378139a3d.png,6249.0,Culicidae,Aedes,-,aegypti,-,Ghana,8.0300284,-1.0800271,bg-sentinel,2024-04-02 00:00:00,MISSING VALUE,olympus sz61 + olympus dp23,aedes_aegypti-diversity-study_f_l_372378139a3d.tif,Culicidae/aedes/aedes_aegypti-diversity-study_f_l_372378139a3d.tif,372378139a3d,morphology,h.jöst,"bernhard-nocht-institute for tropical medicine, hamburg, germany",/Volumes/Crucial/mos_dataset_raw/bnitm/Hanna/images/aedes_aegypti_38_L.tif,aegypti-diversity-study,The aim of the study was to analyse genetic and geomorphic data of Ae. aegypti to investigate the influence of geography and landscape type on its populations across multiple regions in Benin. ,-,F,3471,L,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_convector_f_r_52c3d7c091a1.tif,Full Skeleton,812,left,Aedes_aegypti,0.99,0.6140625,0.053125,0.025,0.0125,0.01875,0.059375,0.125,0.2109375,0.3328125,0.5640625,0.428125,0.4234375,0.378125,0.375,0.38125,0.2578125,0.2453125,0.325,0.303125,0.353125,0.425,0.48125,0.54375,0.603125,0.640625,0.7,0.496875,0.49375,0.446875,0.44375,0.40625,0.36875,0.34375,0.5125,aedes_convector_f_r_52c3d7c091a1.png,2070.0,Culicidae,Aedes,-,aegypti,-,"laboratory-colony, bnitm hamburg",53.550341,10.000654,laboratory-colony,2024-04-02 00:00:00,MISSING VALUE,olympus sz61 + olympus dp23,aedes_convector_f_r_52c3d7c091a1.tif,Culicidae/aedes/aedes_convector_f_r_52c3d7c091a1.tif,52c3d7c091a1,laboratory-colony,k.nolte,"bernhard-nocht-institute for tropical medicine, hamburg, germany",/Volumes/Crucial/ConVector/comparison_dataset/raw/wing/Micro_AEb55_r_.TIF,ConVector,"The goal of the study was to systematically compare the effectiveness of depictions of mosquito wings and full mosquito bodies for species identification. Additionally, the usability of different image capture systems, including smartphone, macro-lens attached to a smartphone and stereomicroscope, was evaluated.",10.21203/rs.3.rs-4491538/v1,F,1954,R,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_landmark-aedes-collection_f_r_f66d6764b804.tif,Full Skeleton,1058,right,Aedes_aegypti,0.95,0.5843750000000001,0.042187500000000044,0.018750000000000044,0.0,0.0031250000000000444,0.04531249999999998,0.11875000000000002,0.20937499999999998,0.31875,0.55,0.41718750000000004,0.40937500000000004,0.3671875,0.3609375,0.37968750000000007,0.2734375,0.2515625,0.3625,0.33125,0.371875,0.44375,0.5,0.5625,0.621875,0.65625,0.703125,0.509375,0.509375,0.465625,0.46875,0.434375,0.4,0.378125,0.521875,aedes_landmark-aedes-collection_f_r_f66d6764b804.png,9602.0,Culicidae,Aedes,-,aegypti,-,"laboratory-colony, bnitm hamburg",53.550341,10.000654,laboratory-colony,2024-04-02 00:00:00,MISSING VALUE,olympus sz61 + olympus dp23,aedes_landmark-aedes-collection_f_r_f66d6764b804.tif,Culicidae/aedes/aedes_landmark-aedes-collection_f_r_f66d6764b804.tif,f66d6764b804,laboratory-colony,k.kliemke,"bernhard-nocht-institute for tropical medicine, hamburg, germany",/Volumes/Crucial/mos_dataset_raw/bnitm/Konstantin/aedes aegypti/18.10.2022/Ae_aeg_131_f_r.tif,landmark-aedes-collection,The aim of the study was to evaluate whether geometric wing morphometrics represents a reliable tool to differentiate Ae. koreicus and Ae. j. japonicus female and male specimens.,-,F,6023,R,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_aegypti-worldwide-collection_f_l_f91a7aa4a1b0.tif,Full Skeleton,1646,right,Aedes_aegypti,1.0,0.5687500000000001,0.05937500000000007,0.014062499999999978,0.0,0.006249999999999978,0.05625000000000002,0.12031250000000004,0.19843750000000004,0.2953125,0.49375,0.37968750000000007,0.37812500000000004,0.3359375,0.33281250000000007,0.34375,0.2515625,0.24843749999999998,0.35,0.31875,0.3625,0.428125,0.484375,0.540625,0.590625,0.6375,0.6875,0.5125,0.5,0.45625,0.453125,0.409375,0.378125,0.35625,0.49375,aedes_aegypti-worldwide-collection_f_l_f91a7aa4a1b0.png,17944.0,Culicidae,Aedes,-,aegypti,-,"Lahore, Pakistan",31.5656822,74.3141829,ovitrap,2024-04-26 00:00:00,MISSING VALUE,leica-m205c,aedes_aegypti-worldwide-collection_f_l_f91a7aa4a1b0.tif,Culicidae/aedes/aedes_aegypti-worldwide-collection_f_l_f91a7aa4a1b0.tif,f91a7aa4a1b0,morphology,g.a.garcia,"fiocruz, rio de janeiro, brazil",/Volumes/Crucial/mos_dataset_raw/bnitm/Rafael Brazil/Pakistan/Paq_22_L.tif,aegypti-worldwide-collection,"This study investigates whether the effects of DENV infection on mosquitoes can vary among populations. Here, we simultaneously investigated and compared the effects of oral DENV infection on the survival and fecundity of Ae. aegypti populations from four countries—Brazil, Peru, Pakistan, and Australia.",10.3390/insects15060393,F,4133,L,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_convector_f_l_cb366eea91eb.tif,Repaired,815,right,Aedes_aegypti,0.8,0.61875,0.05937500000000007,0.020312500000000067,0.0,0.004687500000000067,0.05312499999999998,0.12656250000000002,0.21406250000000004,0.33281250000000007,0.5578125,0.42656250000000007,0.42500000000000004,0.3890625,0.3828125,0.390625,0.26093750000000004,0.24062499999999998,0.33125,0.3,0.353125,0.421875,0.484375,0.54375,0.603125,0.640625,0.696875,0.490625,0.490625,0.440625,0.440625,0.403125,0.36875,0.35,0.509375,aedes_convector_f_l_cb366eea91eb.png,2098.0,Culicidae,Aedes,-,aegypti,-,"laboratory-colony, bnitm hamburg",53.550341,10.000654,laboratory-colony,2024-04-02 00:00:00,MISSING VALUE,olympus sz61 + olympus dp23,aedes_convector_f_l_cb366eea91eb.tif,Culicidae/aedes/aedes_convector_f_l_cb366eea91eb.tif,cb366eea91eb,laboratory-colony,k.nolte,"bernhard-nocht-institute for tropical medicine, hamburg, germany",/Volumes/Crucial/ConVector/comparison_dataset/raw/wing/Micro_AEb70_l_.TIF,ConVector,"The goal of the study was to systematically compare the effectiveness of depictions of mosquito wings and full mosquito bodies for species identification. Additionally, the usability of different image capture systems, including smartphone, macro-lens attached to a smartphone and stereomicroscope, was evaluated.",10.21203/rs.3.rs-4491538/v1,F,2014,L,0.0,Aedes_aegypti,not labeled,not labeled,
aedes_aegypti-worldwide-collection_f_x_65a9ee4386a8.tif,Repaired,1842,right,Aedes_aegypti,0.99,0.56875,0.04531249999999998,0.010937500000000044,0.0,0.0,0.0390625,0.09999999999999998,0.18593749999999998,0.2890625,0.496875,0.3828125,0.37968749999999996,0.3421875,0.33906250000000004,0.3453125,0.24375000000000002,0.23593750000000002,0.35,0.29375,0.346875,0.40625,0.45625,0.521875,0.578125,0.6125,0.66875,0.5,0.484375,0.446875,0.44375,0.403125,0.3625,0.340625,0.49375,aedes_aegypti-worldwide-collection_f_x_65a9ee4386a8.png,17875.0,Culicidae,Aedes,-,aegypti,-,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727,ovitrap,2024-04-26 00:00:00,MISSING VALUE,leica-m205c,aedes_aegypti-worldwide-collection_f_x_65a9ee4386a8.tif,Culicidae/aedes/aedes_aegypti-worldwide-collection_f_x_65a9ee4386a8.tif,65a9ee4386a8,morphology,g.a.garcia,"fiocruz, rio de janeiro, brazil",/Volumes/Crucial/mos_dataset_raw/bnitm/Rafael Brazil/Brazil/Urca_34.1_LR.tif,aegypti-worldwide-collection,"This study investigates whether the effects of DENV infection on mosquitoes can vary among populations. Here, we simultaneously investigated and compared the effects of oral DENV infection on the survival and fecundity of Ae. aegypti populations from four countries—Brazil, Peru, Pakistan, and Australia.",10.3390/insects15060393,F,4197,MISSING VALUE,0.0,Aedes_aegypti,not labeled,not labeled,
