Image_ID,File,Status,Centroid,Orientation,CNN_Predicted_Taxa,CNN_Predicted_Score,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,File_Name,File Name,TAXA LABEL
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_l_21c8aaf8ebb2.png,Full Skeleton,1381,left,Aedes_aegypti,1.0,0.5953125,0.115625,0.075,0.0578125,0.0625,0.10625,0.1625,0.240625,0.3359375,0.521875,0.43125,0.41875,0.38125,0.375,0.3828125,0.2765625,0.2640625,0.365625,0.321875,0.375,0.428125,0.4875,0.5375,0.584375,0.61875,0.65625,0.50625,0.490625,0.45,0.45625,0.41875,0.396875,0.365625,0.50625,aedes_aegypti-diversity-study_f_l_21c8aaf8ebb2.png,aedes_aegypti-diversity-study_f_l_21c8aaf8ebb2.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_l_32ddfdd9f71c.png,Repaired,1504,left,Aedes_aegypti,0.94,0.6640625,0.109375,0.0734375,0.0578125,0.0625,0.1078125,0.178125,0.2578125,0.384375,0.584375,0.4734375,0.4578125,0.4203125,0.4125,0.4265625,0.321875,0.2984375,0.353125,0.325,0.38125,0.4375,0.496875,0.553125,0.596875,0.625,0.659375,0.490625,0.484375,0.440625,0.45,0.409375,0.3875,0.3625,0.50625,aedes_aegypti-diversity-study_f_l_32ddfdd9f71c.png,aedes_aegypti-diversity-study_f_l_32ddfdd9f71c.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_l_3d3015314865.png,Repaired,1530,left,Aedes_aegypti,1.0,0.5953125,0.10625,0.078125,0.05625,0.0609375,0.10625,0.159375,0.2421875,0.334375,0.5359375,0.4296875,0.4203125,0.384375,0.3765625,0.3890625,0.29375,0.28125,0.359375,0.33125,0.375,0.43125,0.484375,0.528125,0.571875,0.60625,0.64375,0.49375,0.48125,0.44375,0.446875,0.40625,0.384375,0.365625,0.49375,aedes_aegypti-diversity-study_f_l_3d3015314865.png,aedes_aegypti-diversity-study_f_l_3d3015314865.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_l_b0aeb29a7e0b.png,Repaired,1502,left,Aedes_aegypti,1.0,0.596875,0.0875,0.0640625,0.053125,0.059375,0.0953125,0.1515625,0.225,0.3328125,0.525,0.4234375,0.4171875,0.38125,0.3734375,0.3796875,0.28125,0.2640625,0.346875,0.3125,0.35625,0.40625,0.465625,0.515625,0.5625,0.603125,0.65625,0.496875,0.484375,0.446875,0.446875,0.40625,0.390625,0.353125,0.490625,aedes_aegypti-diversity-study_f_l_b0aeb29a7e0b.png,aedes_aegypti-diversity-study_f_l_b0aeb29a7e0b.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_l_ee4c1dd5b5b9.png,Repaired,1194,left,Aedes_aegypti,0.73,0.5828125,0.1125,0.075,0.0609375,0.0625,0.1015625,0.1640625,0.2421875,0.3421875,0.50625,0.4109375,0.4015625,0.3734375,0.3625,0.38125,0.259375,0.2515625,0.359375,0.31875,0.3625,0.41875,0.471875,0.521875,0.571875,0.60625,0.646875,0.49375,0.4875,0.440625,0.4375,0.4125,0.384375,0.359375,0.496875,aedes_aegypti-diversity-study_f_l_ee4c1dd5b5b9.png,aedes_aegypti-diversity-study_f_l_ee4c1dd5b5b9.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_r_01146cdfc458.png,Repaired,1521,right,Aedes_aegypti,1.0,0.6375,0.043749999999999956,0.021874999999999978,0.0,0.006249999999999978,0.04531249999999998,0.1171875,0.19062500000000004,0.31718749999999996,0.5578125,0.421875,0.40937500000000004,0.37187499999999996,0.365625,0.375,0.265625,0.22812500000000002,0.346875,0.284375,0.325,0.39375,0.45,0.5125,0.565625,0.6125,0.678125,0.50625,0.490625,0.440625,0.4375,0.39375,0.36875,0.334375,0.490625,aedes_aegypti-diversity-study_f_r_01146cdfc458.png,aedes_aegypti-diversity-study_f_r_01146cdfc458.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_r_10ac5d09b84b.png,Repaired,1507,right,Aedes_aegypti,1.0,0.6453125000000001,0.04531250000000009,0.02187500000000009,0.0,0.0078125,0.042187500000000044,0.10468750000000004,0.2015625000000001,0.328125,0.5437500000000001,0.4390625,0.4281250000000001,0.38593750000000004,0.37812500000000004,0.3984375,0.28593750000000007,0.24375000000000002,0.359375,0.3625,0.403125,0.475,0.534375,0.6,0.65,0.6875,0.725,0.540625,0.525,0.478125,0.48125,0.44375,0.4125,0.384375,0.553125,aedes_aegypti-diversity-study_f_r_10ac5d09b84b.png,aedes_aegypti-diversity-study_f_r_10ac5d09b84b.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_r_2553f9ffed2a.png,Full Skeleton,973,right,Aedes_aegypti,1.0,0.5140625000000001,0.04531250000000009,0.018750000000000044,0.0,0.0015625000000000222,0.042187500000000044,0.10312500000000002,0.17656250000000007,0.27656250000000004,0.45781250000000007,0.3609375,0.3515625,0.32343750000000004,0.3109375000000001,0.321875,0.20468750000000002,0.19687500000000002,0.359375,0.31875,0.359375,0.4125,0.478125,0.525,0.575,0.60625,0.646875,0.5,0.4875,0.44375,0.45,0.409375,0.3875,0.3625,0.5,aedes_aegypti-diversity-study_f_r_2553f9ffed2a.png,aedes_aegypti-diversity-study_f_r_2553f9ffed2a.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_r_3212c3319641.png,Full Skeleton,1488,right,Aedes_aegypti,1.0,0.5859375,0.04999999999999993,0.026562499999999933,0.0015625000000000222,0.0,0.04999999999999993,0.11249999999999993,0.19374999999999998,0.29999999999999993,0.5125,0.40156249999999993,0.3921875,0.3515625,0.3421875,0.3578125,0.23906249999999996,0.23749999999999993,0.309375,0.3,0.346875,0.409375,0.471875,0.5375,0.5875,0.625,0.665625,0.475,0.475,0.434375,0.4375,0.4,0.365625,0.346875,0.496875,aedes_aegypti-diversity-study_f_r_3212c3319641.png,aedes_aegypti-diversity-study_f_r_3212c3319641.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_r_41b78f8218d0.png,Repaired,1489,right,Aedes_aegypti,0.99,0.5421874999999999,0.03749999999999998,0.021874999999999978,0.0,0.006249999999999978,0.04062499999999991,0.09687499999999993,0.18437499999999996,0.27812499999999996,0.47031249999999997,0.36406249999999996,0.36249999999999993,0.328125,0.32343749999999993,0.32343749999999993,0.23281249999999998,0.22343749999999996,0.35625,0.321875,0.35625,0.415625,0.471875,0.51875,0.565625,0.603125,0.65625,0.496875,0.484375,0.446875,0.440625,0.40625,0.3875,0.3625,0.484375,aedes_aegypti-diversity-study_f_r_41b78f8218d0.png,aedes_aegypti-diversity-study_f_r_41b78f8218d0.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference_json/aedes_aegypti-diversity-study_f_r_43a2e2c12b77.png,Repaired,1465,right,Aedes_aegypti,0.96,0.6671874999999999,0.05624999999999991,0.015625,0.0,0.004687499999999956,0.051562499999999956,0.125,0.2124999999999999,0.34375,0.5703125,0.453125,0.44062499999999993,0.390625,0.3828125,0.39374999999999993,0.28593749999999996,0.271875,0.3125,0.309375,0.375,0.440625,0.496875,0.55625,0.60625,0.646875,0.675,0.475,0.478125,0.425,0.4375,0.4,0.365625,0.34375,0.50625,aedes_aegypti-diversity-study_f_r_43a2e2c12b77.png,aedes_aegypti-diversity-study_f_r_43a2e2c12b77.tif,Aedes_aegypti
