Image_ID,File,Status,Centroid,Orientation,CNN_Predicted_Taxa,CNN_Predicted_Score,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,X_sm_17,X_sm_18,X_sm_19,X_sm_20,X_sm_21,X_sm_22,X_sm_23,X_sm_24,X_sm_25,X_sm_26,X_sm_27,X_sm_28,X_sm_29,X_sm_30,X_sm_31,X_sm_32,X_sm_33,X_sm_34,X_sm_35,X_sm_36,X_sm_37,X_sm_38,X_sm_39,X_sm_40,X_sm_41,X_sm_42,X_sm_43,X_sm_44,X_sm_45,X_sm_46,X_sm_47,X_sm_48,X_sm_49,X_sm_50,X_sm_51,X_sm_52,X_sm_53,X_sm_54,X_sm_55,X_sm_56,X_sm_57,X_sm_58,X_sm_59,X_sm_60,X_sm_61,X_sm_62,X_sm_63,X_sm_64,X_sm_65,X_sm_66,X_sm_67,X_sm_68,Y_sm_17,Y_sm_18,Y_sm_19,Y_sm_20,Y_sm_21,Y_sm_22,Y_sm_23,Y_sm_24,Y_sm_25,Y_sm_26,Y_sm_27,Y_sm_28,Y_sm_29,Y_sm_30,Y_sm_31,Y_sm_32,Y_sm_33,Y_sm_34,Y_sm_35,Y_sm_36,Y_sm_37,Y_sm_38,Y_sm_39,Y_sm_40,Y_sm_41,Y_sm_42,Y_sm_43,Y_sm_44,Y_sm_45,Y_sm_46,Y_sm_47,Y_sm_48,Y_sm_49,Y_sm_50,Y_sm_51,Y_sm_52,Y_sm_53,Y_sm_54,Y_sm_55,Y_sm_56,Y_sm_57,Y_sm_58,Y_sm_59,Y_sm_60,Y_sm_61,Y_sm_62,Y_sm_63,Y_sm_64,Y_sm_65,Y_sm_66,Y_sm_67,Y_sm_68,File_Name,File Name,TAXA LABEL
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_l_21c8aaf8ebb2.png,Full Skeleton,1380,left,Aedes_aegypti,0.99,0.59375,0.1125,0.0765625,0.0578125,0.065625,0.1078125,0.1625,0.2390625,0.3359375,0.525,0.43125,0.41875,0.3796875,0.378125,0.3828125,0.2796875,0.2640625,0.365625,0.325,0.375,0.428125,0.4875,0.540625,0.584375,0.61875,0.659375,0.503125,0.490625,0.45,0.453125,0.41875,0.4,0.36875,0.503125,0.5,0.403125,0.30625,0.209375,0.553125,0.5109375,0.46875,0.4265625,0.090625,0.0625,0.1171875,0.1578125,0.1984375,0.2390625,0.0546875,0.1015625,0.1453125,0.190625,0.234375,0.084375,0.128125,0.190625,0.253125,0.315625,0.1328125,0.1375,0.16875,0.2,0.23125,0.2,0.18125,0.203125,0.225,0.246875,0.2859375,0.2765625,0.315625,0.353125,0.3921875,0.371875,0.4109375,0.45,0.4890625,0.478125,0.3578125,0.334375,0.3109375,0.2875,0.3625,0.3421875,0.321875,0.3015625,0.35,0.33125,0.309375,0.296875,0.384375,0.38125,0.38125,0.3875,0.3375,0.39375,0.365625,0.35,0.34375,0.35,0.459375,0.415625,0.40625,0.39375,0.384375,0.521875,0.465625,0.45,0.434375,0.425,0.571875,0.51875,0.50625,0.496875,0.496875,0.6125,0.565625,0.559375,0.546875,0.53125,0.64375,0.584375,0.55625,0.5375,0.5125,0.625,0.596875,0.56875,0.534375,0.490625,0.4625,0.475,0.484375,0.49375,0.384375,0.378125,0.378125,0.371875,aedes_aegypti-diversity-study_f_l_21c8aaf8ebb2.png,aedes_aegypti-diversity-study_f_l_21c8aaf8ebb2.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_l_3d3015314865.png,Repaired,1528,left,Aedes_aegypti,0.98,0.5953125,0.1046875,0.078125,0.0578125,0.059375,0.1078125,0.1609375,0.2421875,0.3265625,0.5359375,0.4296875,0.4203125,0.384375,0.375,0.3890625,0.2921875,0.2828125,0.359375,0.334375,0.375,0.43125,0.484375,0.53125,0.571875,0.60625,0.640625,0.49375,0.48125,0.440625,0.446875,0.40625,0.384375,0.3625,0.490625,0.509375,0.4078125,0.30625,0.2046875,0.5546875,0.5140625,0.471875,0.43125,0.0890625,0.0625,0.1203125,0.1625,0.20625,0.2484375,0.0546875,0.1046875,0.1515625,0.1984375,0.2453125,0.08125,0.121875,0.184375,0.2484375,0.3109375,0.1328125,0.1421875,0.1765625,0.2125,0.246875,0.2,0.184375,0.209375,0.234375,0.259375,0.2828125,0.278125,0.315625,0.353125,0.390625,0.36875,0.4109375,0.453125,0.4953125,0.484375,0.3640625,0.34375,0.3234375,0.303125,0.3703125,0.3515625,0.33125,0.3125,0.309375,0.290625,0.2625,0.271875,0.365625,0.3625,0.375,0.38125,0.346875,0.396875,0.365625,0.35,0.3375,0.334375,0.459375,0.41875,0.4,0.3875,0.378125,0.521875,0.4625,0.446875,0.434375,0.421875,0.559375,0.509375,0.496875,0.4875,0.48125,0.596875,0.553125,0.546875,0.5375,0.521875,0.625,0.575,0.55,0.53125,0.50625,0.61875,0.584375,0.553125,0.525,0.475,0.459375,0.465625,0.471875,0.484375,0.36875,0.365625,0.365625,0.3625,aedes_aegypti-diversity-study_f_l_3d3015314865.png,aedes_aegypti-diversity-study_f_l_3d3015314865.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_l_ee4c1dd5b5b9.png,Repaired,1194,left,Aedes_aegypti,0.91,0.5828125,0.10625,0.08125,0.0609375,0.0640625,0.109375,0.1640625,0.2421875,0.3421875,0.5078125,0.4109375,0.4109375,0.371875,0.3703125,0.3765625,0.2734375,0.2515625,0.359375,0.31875,0.359375,0.41875,0.471875,0.525,0.571875,0.60625,0.65,0.496875,0.484375,0.44375,0.4375,0.4125,0.384375,0.3625,0.49375,0.496875,0.3984375,0.3,0.2015625,0.5421875,0.5015625,0.459375,0.41875,0.0921875,0.065625,0.11875,0.1578125,0.196875,0.2359375,0.0578125,0.103125,0.1453125,0.1875,0.2296875,0.084375,0.125,0.1859375,0.246875,0.3078125,0.134375,0.1375,0.165625,0.19375,0.221875,0.2015625,0.18125,0.2,0.21875,0.2375,0.290625,0.2734375,0.3078125,0.3421875,0.3765625,0.3734375,0.4078125,0.4421875,0.4765625,0.4609375,0.3484375,0.325,0.3,0.2765625,0.35625,0.3359375,0.315625,0.2953125,0.315625,0.296875,0.265625,0.26875,0.36875,0.371875,0.371875,0.378125,0.33125,0.384375,0.353125,0.340625,0.3375,0.3375,0.446875,0.40625,0.39375,0.3875,0.38125,0.509375,0.453125,0.440625,0.43125,0.41875,0.55625,0.50625,0.5,0.4875,0.484375,0.603125,0.55625,0.546875,0.534375,0.521875,0.634375,0.56875,0.546875,0.525,0.50625,0.615625,0.5875,0.5625,0.5375,0.484375,0.453125,0.4625,0.475,0.484375,0.375,0.36875,0.365625,0.365625,aedes_aegypti-diversity-study_f_l_ee4c1dd5b5b9.png,aedes_aegypti-diversity-study_f_l_ee4c1dd5b5b9.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_r_01146cdfc458.png,Repaired,1516,right,Aedes_aegypti,0.99,0.6375000000000001,0.04843750000000002,0.025000000000000022,0.004687500000000067,0.009375000000000022,0.05156250000000007,0.11875000000000002,0.20625000000000004,0.3125,0.5593750000000001,0.42500000000000004,0.41875000000000007,0.37812500000000004,0.36875,0.37812500000000004,0.2718750000000001,0.22812500000000002,0.35,0.28125,0.321875,0.39375,0.45,0.5125,0.56875,0.6125,0.675,0.50625,0.490625,0.440625,0.4375,0.39375,0.36875,0.334375,0.490625,0.5218750000000001,0.40312500000000007,0.28593750000000007,0.16718750000000004,0.5890625,0.5359375000000001,0.48437500000000006,0.43125,0.03593750000000007,0.009375000000000022,0.07500000000000007,0.125,0.17500000000000004,0.2250000000000001,0.0,0.057812500000000044,0.11093750000000002,0.1640625,0.2171875000000001,0.026562500000000044,0.08125000000000004,0.15312500000000007,0.2250000000000001,0.296875,0.08437500000000009,0.08437500000000009,0.12031250000000004,0.15625,0.19218750000000007,0.16093750000000007,0.1390625000000001,0.1625000000000001,0.1859375000000001,0.2093750000000001,0.2578125,0.2484375000000001,0.29218750000000004,0.3359375,0.37968750000000007,0.36250000000000004,0.4125000000000001,0.4625,0.5125000000000001,0.49218750000000006,0.34843750000000007,0.3187500000000001,0.2890625,0.259375,0.3578125000000001,0.3359375,0.31562500000000004,0.29375000000000007,0.31875,0.296875,0.253125,0.246875,0.371875,0.36875,0.365625,0.36875,0.296875,0.353125,0.325,0.309375,0.303125,0.30625,0.421875,0.378125,0.365625,0.35625,0.353125,0.49375,0.425,0.4125,0.409375,0.4,0.55,0.490625,0.48125,0.475,0.475,0.603125,0.546875,0.5375,0.53125,0.51875,0.646875,0.575,0.55,0.53125,0.509375,0.63125,0.603125,0.578125,0.546875,0.4875,0.446875,0.459375,0.471875,0.48125,0.353125,0.34375,0.3375,0.334375,aedes_aegypti-diversity-study_f_r_01146cdfc458.png,aedes_aegypti-diversity-study_f_r_01146cdfc458.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_r_2553f9ffed2a.png,Full Skeleton,970,right,Aedes_aegypti,0.99,0.5234375,0.0625,0.025000000000000022,0.004687500000000067,0.009375000000000022,0.050000000000000044,0.109375,0.17812499999999998,0.2796875,0.4625,0.36406250000000007,0.359375,0.3296875,0.3203125,0.328125,0.20937499999999998,0.20468750000000002,0.359375,0.31875,0.359375,0.415625,0.478125,0.53125,0.578125,0.60625,0.65,0.5,0.4875,0.44375,0.45,0.409375,0.3875,0.3625,0.496875,0.43125,0.33906250000000004,0.24687500000000007,0.15468749999999998,0.4859375,0.446875,0.4078125,0.36875,0.04062500000000002,0.009375000000000022,0.06093749999999998,0.09843750000000007,0.13593750000000004,0.17343750000000002,0.0,0.04531249999999998,0.0859375,0.12812500000000004,0.16875000000000007,0.026562500000000044,0.0703125,0.1328125,0.1953125,0.2578125,0.078125,0.07968750000000002,0.11093750000000002,0.14218750000000002,0.17343750000000002,0.14375000000000004,0.12812500000000004,0.1484375,0.16875000000000007,0.18906250000000002,0.22812500000000002,0.21406250000000004,0.2515625,0.2890625,0.3265625,0.3140625,0.3515625,0.3890625,0.42656250000000007,0.4140625,0.3046875,0.2796875,0.25468750000000007,0.22968750000000004,0.30625,0.2828125,0.2578125,0.234375,0.340625,0.31875,0.3,0.29375,0.378125,0.38125,0.384375,0.384375,0.325,0.38125,0.353125,0.34375,0.340625,0.3375,0.446875,0.40625,0.396875,0.390625,0.38125,0.515625,0.45625,0.440625,0.43125,0.415625,0.5625,0.509375,0.5,0.496875,0.490625,0.603125,0.559375,0.55,0.540625,0.521875,0.634375,0.575,0.553125,0.53125,0.509375,0.6125,0.5875,0.5625,0.528125,0.484375,0.45625,0.46875,0.478125,0.490625,0.371875,0.36875,0.36875,0.36875,aedes_aegypti-diversity-study_f_r_2553f9ffed2a.png,aedes_aegypti-diversity-study_f_r_2553f9ffed2a.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_r_41b78f8218d0.png,Repaired,1484,right,Aedes_aegypti,0.73,0.54375,0.04999999999999993,0.020312499999999956,0.0031249999999999334,0.0078125,0.04218749999999993,0.09999999999999998,0.18281249999999993,0.27812499999999996,0.471875,0.3671875,0.36406249999999996,0.328125,0.32499999999999996,0.32499999999999996,0.23593750000000002,0.22343749999999996,0.35625,0.31875,0.35625,0.4125,0.471875,0.521875,0.565625,0.603125,0.65625,0.496875,0.48125,0.446875,0.44375,0.40625,0.3875,0.359375,0.484375,0.4453125,0.34687499999999993,0.24843749999999998,0.15000000000000002,0.503125,0.459375,0.4140625,0.37031249999999993,0.03281250000000002,0.004687499999999956,0.0625,0.10624999999999996,0.15000000000000002,0.19374999999999998,0.0,0.04843750000000002,0.09531250000000002,0.14218750000000002,0.18906250000000002,0.021874999999999978,0.0703125,0.13437500000000002,0.19687500000000002,0.26093749999999993,0.0703125,0.07656249999999998,0.11249999999999993,0.15000000000000002,0.18593749999999998,0.140625,0.125,0.15000000000000002,0.17656249999999996,0.20156249999999998,0.22968749999999993,0.21875,0.25625,0.29218749999999993,0.3296875,0.31562499999999993,0.35624999999999996,0.39531249999999996,0.43437499999999996,0.4203125,0.30781249999999993,0.2875,0.265625,0.24531249999999993,0.30937499999999996,0.290625,0.2734375,0.25468749999999996,0.340625,0.31875,0.290625,0.2875,0.378125,0.378125,0.38125,0.38125,0.328125,0.38125,0.346875,0.3375,0.328125,0.33125,0.44375,0.403125,0.390625,0.378125,0.371875,0.50625,0.45,0.434375,0.425,0.415625,0.553125,0.503125,0.490625,0.484375,0.478125,0.596875,0.55,0.540625,0.534375,0.51875,0.634375,0.575,0.55,0.53125,0.509375,0.61875,0.590625,0.565625,0.53125,0.48125,0.453125,0.4625,0.471875,0.478125,0.375,0.371875,0.365625,0.365625,aedes_aegypti-diversity-study_f_r_41b78f8218d0.png,aedes_aegypti-diversity-study_f_r_41b78f8218d0.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_r_43a2e2c12b77.png,Full Skeleton,1458,right,Aedes_aegypti,0.97,0.671875,0.06093749999999998,0.0234375,0.0015625000000000222,0.0078125,0.06093749999999998,0.125,0.22968749999999993,0.34843749999999996,0.575,0.453125,0.44062499999999993,0.3921875,0.384375,0.39531249999999996,0.2890625,0.27031249999999996,0.3125,0.31875,0.371875,0.4375,0.496875,0.559375,0.60625,0.640625,0.68125,0.475,0.48125,0.428125,0.4375,0.4,0.3625,0.34375,0.50625,0.55,0.428125,0.30625,0.18437499999999996,0.6203125,0.5640624999999999,0.5078125,0.4515625,0.0390625,0.0078125,0.07656249999999998,0.12968749999999996,0.18437499999999996,0.23749999999999993,0.0,0.05781249999999993,0.11562499999999998,0.17343750000000002,0.23124999999999996,0.03125,0.08281249999999996,0.15781250000000002,0.23281249999999998,0.30781249999999993,0.09062499999999996,0.1015625,0.14374999999999993,0.18593749999999998,0.22812500000000002,0.17656249999999996,0.15468749999999998,0.18437499999999996,0.21406249999999993,0.24375000000000002,0.2875,0.271875,0.31718749999999996,0.36249999999999993,0.4078125,0.3890625,0.4359375,0.48124999999999996,0.528125,0.515625,0.36875,0.34375,0.3203125,0.2953125,0.3765625,0.35468749999999993,0.33281249999999996,0.3109375,0.303125,0.29375,0.275,0.278125,0.340625,0.346875,0.35,0.359375,0.33125,0.396875,0.35625,0.3375,0.328125,0.321875,0.46875,0.41875,0.4,0.384375,0.371875,0.54375,0.471875,0.453125,0.434375,0.41875,0.59375,0.534375,0.521875,0.50625,0.496875,0.640625,0.5875,0.578125,0.5625,0.546875,0.659375,0.596875,0.5625,0.534375,0.509375,0.628125,0.590625,0.559375,0.515625,0.4625,0.45,0.465625,0.478125,0.490625,0.353125,0.346875,0.346875,0.34375,aedes_aegypti-diversity-study_f_r_43a2e2c12b77.png,aedes_aegypti-diversity-study_f_r_43a2e2c12b77.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_r_6e2744da04ef.png,Repaired,1682,right,Aedes_aegypti,0.97,0.5812499999999999,0.059374999999999956,0.026562499999999933,0.004687499999999956,0.004687499999999956,0.04531249999999998,0.10781249999999998,0.1953125,0.30937499999999996,0.5015624999999999,0.3999999999999999,0.396875,0.35468749999999993,0.34375,0.36249999999999993,0.2593749999999999,0.21562499999999996,0.353125,0.3125,0.353125,0.4125,0.46875,0.525,0.575,0.6125,0.65625,0.484375,0.475,0.44375,0.440625,0.40625,0.38125,0.3625,0.496875,0.47968749999999993,0.375,0.27031249999999996,0.1656249999999999,0.5375,0.49374999999999997,0.44999999999999996,0.40625,0.04062499999999991,0.009374999999999911,0.07187499999999991,0.11874999999999991,0.1656249999999999,0.2124999999999999,0.0,0.0546875,0.10624999999999996,0.15625,0.20781249999999996,0.021874999999999978,0.07187499999999991,0.13906249999999998,0.20781249999999996,0.2749999999999999,0.07499999999999996,0.078125,0.11249999999999993,0.14687499999999998,0.1812499999999999,0.15156249999999993,0.12968749999999996,0.15156249999999993,0.1734374999999999,0.1953125,0.2515624999999999,0.234375,0.2749999999999999,0.31718749999999996,0.3578125,0.34687499999999993,0.38593749999999993,0.42499999999999993,0.46406249999999993,0.4515625,0.328125,0.29999999999999993,0.271875,0.2437499999999999,0.3421875,0.3218749999999999,0.30156249999999996,0.28125,0.3375,0.3125,0.29375,0.28125,0.36875,0.371875,0.375,0.378125,0.321875,0.378125,0.346875,0.334375,0.33125,0.33125,0.440625,0.4,0.3875,0.38125,0.371875,0.50625,0.446875,0.434375,0.43125,0.41875,0.559375,0.503125,0.490625,0.484375,0.48125,0.60625,0.55625,0.546875,0.5375,0.525,0.640625,0.575,0.546875,0.528125,0.50625,0.6125,0.584375,0.559375,0.53125,0.471875,0.446875,0.465625,0.475,0.4875,0.371875,0.365625,0.365625,0.3625,aedes_aegypti-diversity-study_f_r_6e2744da04ef.png,aedes_aegypti-diversity-study_f_r_6e2744da04ef.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-diversity-study_f_r_e4d9d7e5d0c4.png,Full Skeleton,1283,right,Aedes_aegypti,0.92,0.5296875,0.0390625,0.015625,0.0015625000000000222,0.012499999999999956,0.04843750000000002,0.10624999999999996,0.19218749999999996,0.28593749999999996,0.4734375,0.3671875,0.35624999999999996,0.3296875,0.31875,0.32499999999999996,0.2109375,0.20937499999999998,0.36875,0.353125,0.396875,0.453125,0.503125,0.553125,0.596875,0.628125,0.665625,0.50625,0.503125,0.4625,0.465625,0.43125,0.396875,0.3875,0.515625,0.4328125,0.334375,0.23593750000000002,0.13749999999999996,0.4921875,0.45,0.40937500000000004,0.3671875,0.0234375,0.004687499999999956,0.0546875,0.09531250000000002,0.13437500000000002,0.17500000000000004,0.0,0.042187500000000044,0.08437499999999998,0.12656250000000002,0.16874999999999996,0.026562500000000044,0.07343750000000004,0.13437500000000002,0.1953125,0.25625,0.07656249999999998,0.07968750000000002,0.11250000000000004,0.14375000000000004,0.17656249999999996,0.1484375,0.12656250000000002,0.1484375,0.17031249999999998,0.19218749999999996,0.23906249999999996,0.22499999999999998,0.26093750000000004,0.2953125,0.33125000000000004,0.321875,0.3609375,0.3984375,0.4359375,0.421875,0.30625,0.2828125,0.2578125,0.234375,0.303125,0.2796875,0.2578125,0.234375,0.35625,0.3375,0.321875,0.325,0.390625,0.390625,0.390625,0.396875,0.36875,0.421875,0.390625,0.378125,0.365625,0.359375,0.484375,0.440625,0.428125,0.415625,0.40625,0.540625,0.484375,0.46875,0.45625,0.440625,0.584375,0.5375,0.525,0.515625,0.5125,0.621875,0.578125,0.56875,0.559375,0.54375,0.65,0.59375,0.56875,0.55,0.528125,0.63125,0.603125,0.575,0.5375,0.49375,0.471875,0.484375,0.496875,0.50625,0.390625,0.384375,0.384375,0.3875,aedes_aegypti-diversity-study_f_r_e4d9d7e5d0c4.png,aedes_aegypti-diversity-study_f_r_e4d9d7e5d0c4.tif,Aedes_aegypti
,/Users/kristophernolte/Documents/ITHILDIN_evaluation/reference/reference_finalselection/aedes_aegypti-wolbachia-study_f_l_5e72d916735c.png,Full Skeleton,1194,left,Aedes_aegypti,0.98,0.565625,0.059375,0.034375,0.01875,0.0265625,0.0671875,0.125,0.209375,0.3125,0.5140625,0.39375,0.390625,0.3578125,0.3578125,0.365625,0.2609375,0.2421875,0.41875,0.365625,0.4125,0.475,0.528125,0.58125,0.63125,0.675,0.728125,0.56875,0.55625,0.515625,0.5125,0.46875,0.434375,0.4125,0.559375,0.465625,0.3640625,0.2625,0.1609375,0.5265625,0.4859375,0.446875,0.40625,0.04375,0.021875,0.0796875,0.125,0.1703125,0.215625,0.01875,0.0671875,0.115625,0.1640625,0.2125,0.0453125,0.0921875,0.1578125,0.225,0.290625,0.0953125,0.1015625,0.1359375,0.171875,0.20625,0.165625,0.1484375,0.171875,0.196875,0.2203125,0.259375,0.24375,0.28125,0.31875,0.35625,0.3515625,0.39375,0.4359375,0.478125,0.4546875,0.3359375,0.3125,0.2890625,0.265625,0.3453125,0.325,0.303125,0.2828125,0.4,0.365625,0.346875,0.340625,0.43125,0.434375,0.434375,0.43125,0.38125,0.440625,0.403125,0.39375,0.384375,0.38125,0.503125,0.459375,0.44375,0.4375,0.428125,0.5625,0.509375,0.496875,0.484375,0.475,0.615625,0.5625,0.559375,0.553125,0.55,0.66875,0.615625,0.609375,0.60625,0.590625,0.703125,0.646875,0.625,0.603125,0.58125,0.69375,0.66875,0.6375,0.609375,0.55,0.521875,0.53125,0.540625,0.55,0.425,0.415625,0.4125,0.415625,aedes_aegypti-wolbachia-study_f_l_5e72d916735c.png,aedes_aegypti-wolbachia-study_f_l_5e72d916735c.tif,Aedes_aegypti
